v(v_in),v(out),v(c1),v(c2),v(tail)
2.120000000000001605e-01,5.012999832607490080e-08,4.999999906969579300e+00,3.137282227401551715e+00,1.868893565668116041e+00
2.140000000000001623e-01,5.012999832613076527e-08,4.999999906978979780e+00,3.137282227413232594e+00,1.868893565668306112e+00
2.160000000000001641e-01,5.012999832618661650e-08,4.999999906988380260e+00,3.137282227450009398e+00,1.868893565668829915e+00
2.180000000000001659e-01,5.012999832624245450e-08,4.999999906997778965e+00,3.137282227416927416e+00,1.868893565668386936e+00
2.200000000000001676e-01,5.012999832629832559e-08,4.999999907007179445e+00,3.137282227440801208e+00,1.868893565668682699e+00
2.220000000000001694e-01,5.012999832635414374e-08,4.999999907016579037e+00,3.137282227466493989e+00,1.868893565669078383e+00
2.240000000000001712e-01,5.012999832641000159e-08,4.999999907025979518e+00,3.137282227472916851e+00,1.868893565669185186e+00
2.260000000000001730e-01,5.012999832646584621e-08,4.999999907035379998e+00,3.137282227470557849e+00,1.868893565669146328e+00
2.280000000000001747e-01,5.012999832652169744e-08,4.999999907044779590e+00,3.137282227459075923e+00,1.868893565668977796e+00
2.300000000000001765e-01,5.012999832657756853e-08,4.999999907054180071e+00,3.137282227476128504e+00,1.868893565669210721e+00
2.320000000000001783e-01,5.012999832663339329e-08,4.999999907063579663e+00,3.137282227495653775e+00,1.868893565669507373e+00
2.340000000000001801e-01,5.012999832668924453e-08,4.999999907072980143e+00,3.137282227491561049e+00,1.868893565669460743e+00
2.360000000000001819e-01,5.012999832674509576e-08,4.999999907082379735e+00,3.137282227531748457e+00,1.868893565670017409e+00
2.380000000000001836e-01,5.012999832680094038e-08,4.999999907091779328e+00,3.137282227510148847e+00,1.868893565669748069e+00
2.400000000000001854e-01,5.012999832685680485e-08,4.999999907101180696e+00,3.137282227526803524e+00,1.868893565669950352e+00
2.420000000000001872e-01,5.012999832691264947e-08,4.999999907110579400e+00,3.137282227540246549e+00,1.868893565670162626e+00
2.440000000000001890e-01,5.012999832696850070e-08,4.999999907119979881e+00,3.137282227560198145e+00,1.868893565670452395e+00
2.460000000000001907e-01,5.012999832702435194e-08,4.999999907129381249e+00,3.137282227557867564e+00,1.868893565670431522e+00
2.480000000000001925e-01,5.012999832708020317e-08,4.999999907138779953e+00,3.137282227582508742e+00,1.868893565670769474e+00
2.500000000000001665e-01,5.012999832713604779e-08,4.999999907148179545e+00,3.137282227575033833e+00,1.868893565670685986e+00
2.520000000000001683e-01,5.012999832719190564e-08,4.999999907157580914e+00,3.137282227595752815e+00,1.868893565670963541e+00
2.540000000000001701e-01,5.012999832724775026e-08,4.999999907166979618e+00,3.137282227601152940e+00,1.868893565671060131e+00
2.560000000000001719e-01,5.012999832730359488e-08,4.999999907176379210e+00,3.137282227608599428e+00,1.868893565671163604e+00
2.580000000000001736e-01,5.012999832735944611e-08,4.999999907185780579e+00,3.137282227646200461e+00,1.868893565671700063e+00
2.600000000000001754e-01,5.012999832741529073e-08,4.999999907195179283e+00,3.137282227620962427e+00,1.868893565671372103e+00
2.620000000000001772e-01,5.012999832747114197e-08,4.999999907204579763e+00,3.137282227636537080e+00,1.868893565671556622e+00
2.640000000000001790e-01,5.012999832752699320e-08,4.999999907213981132e+00,3.137282227629119458e+00,1.868893565671474022e+00
2.660000000000001807e-01,5.012999832758284444e-08,4.999999907223379836e+00,3.137282227658307665e+00,1.868893565671875923e+00
2.680000000000001825e-01,5.012999832763869567e-08,4.999999907232780316e+00,3.137282227627954168e+00,1.868893565671474466e+00
2.700000000000001843e-01,5.012999832769455352e-08,4.999999907242179908e+00,3.137282227680362467e+00,1.868893565672178791e+00
2.720000000000001861e-01,5.012999832775039814e-08,4.999999907251579501e+00,3.137282227690395331e+00,1.868893565672378410e+00
2.740000000000001878e-01,5.012999832780623614e-08,4.999999907260979093e+00,3.137282227656971845e+00,1.868893565671895240e+00
2.760000000000001896e-01,5.012999832786208738e-08,4.999999907270379573e+00,3.137282227680902480e+00,1.868893565672197665e+00
2.780000000000001914e-01,5.012999832791794523e-08,4.999999907279780054e+00,3.137282227673655388e+00,1.868893565672129053e+00
2.800000000000001932e-01,5.012999832797379646e-08,4.999999907289178758e+00,3.137282227717622884e+00,1.868893565672738788e+00
