v(v_in),v(out),v(c1),v(c2),v(tail)
3.900000000000002909e-01,5.012999833104548865e-08,4.999999907806177646e+00,3.137282228239974380e+00,1.868893565680031621e+00
3.920000000000002927e-01,5.012999833110133989e-08,4.999999907815578126e+00,3.137282228241991877e+00,1.868893565680074254e+00
3.940000000000002944e-01,5.012999833115719774e-08,4.999999907824977718e+00,3.137282228269759443e+00,1.868893565680460611e+00
3.960000000000002962e-01,5.012999833121304236e-08,4.999999907834378199e+00,3.137282228266917272e+00,1.868893565680443514e+00
3.980000000000002980e-01,5.012999833126889359e-08,4.999999907843778679e+00,3.137282228267087802e+00,1.868893565680433300e+00
4.000000000000002998e-01,5.012999833132473821e-08,4.999999907853178271e+00,3.137282228285703578e+00,1.868893565680697311e+00
4.020000000000003015e-01,5.012999833138058945e-08,4.999999907862577864e+00,3.137282228299175468e+00,1.868893565680904922e+00
4.040000000000003033e-01,5.012999833143643406e-08,4.999999907871978344e+00,3.137282228303239773e+00,1.868893565680967983e+00
4.060000000000003051e-01,5.012999833149227206e-08,4.999999907881377936e+00,3.137282228305854126e+00,1.868893565681001734e+00
4.080000000000003069e-01,5.012999833154814315e-08,4.999999907890779305e+00,3.137282228306649934e+00,1.868893565681013724e+00
4.100000000000003086e-01,5.012999833160399439e-08,4.999999907900178009e+00,3.137282228322111344e+00,1.868893565681232438e+00
4.120000000000003104e-01,5.012999833165984562e-08,4.999999907909577601e+00,3.137282228325407818e+00,1.868893565681292834e+00
4.140000000000003122e-01,5.012999833171567700e-08,4.999999907918979858e+00,3.137282228348883706e+00,1.868893565681623015e+00
4.160000000000003140e-01,5.012999833177152824e-08,4.999999907928378562e+00,3.137282228364572489e+00,1.868893565681864377e+00
4.180000000000003157e-01,5.012999833182738609e-08,4.999999907937778154e+00,3.137282228363520886e+00,1.868893565681854607e+00
4.200000000000003175e-01,5.012999833188324394e-08,4.999999907947179523e+00,3.137282228367357373e+00,1.868893565681900348e+00
4.220000000000003193e-01,5.012999833193909518e-08,4.999999907956578227e+00,3.137282228381625071e+00,1.868893565682105518e+00
4.240000000000003211e-01,5.012999833199494641e-08,4.999999907965979595e+00,3.137282228369290049e+00,1.868893565681941871e+00
4.260000000000003229e-01,5.012999833205079103e-08,4.999999907975379188e+00,3.137282228389667971e+00,1.868893565682214097e+00
4.280000000000003246e-01,5.012999833210661580e-08,4.999999907984777892e+00,3.137282228393277528e+00,1.868893565682288482e+00
4.300000000000003264e-01,5.012999833216247365e-08,4.999999907994178372e+00,3.137282228381397697e+00,1.868893565682115732e+00
4.320000000000003282e-01,5.012999833221831827e-08,4.999999908003578852e+00,3.137282228426985231e+00,1.868893565682748781e+00
4.340000000000003300e-01,5.012999833227416950e-08,4.999999908012978445e+00,3.137282228420334551e+00,1.868893565682699709e+00
4.360000000000003317e-01,5.012999833233003397e-08,4.999999908022379813e+00,3.137282228421528263e+00,1.868893565682694824e+00
4.380000000000003335e-01,5.012999833238588521e-08,4.999999908031779405e+00,3.137282228425194663e+00,1.868893565682748115e+00
4.400000000000003353e-01,5.012999833244172321e-08,4.999999908041178109e+00,3.137282228457651367e+00,1.868893565683211522e+00
4.420000000000003371e-01,5.012999833249759429e-08,4.999999908050579478e+00,3.137282228496076630e+00,1.868893565683784175e+00
4.440000000000003388e-01,5.012999833255342568e-08,4.999999908059979070e+00,3.137282228437785037e+00,1.868893565682978819e+00
4.460000000000003406e-01,5.012999833260927691e-08,4.999999908069379551e+00,3.137282228446339971e+00,1.868893565683031444e+00
4.480000000000003424e-01,5.012999833266510829e-08,4.999999908078779143e+00,3.137282228496730330e+00,1.868893565683774849e+00
4.500000000000003442e-01,5.012999833272096615e-08,4.999999908088178735e+00,3.137282228489085334e+00,1.868893565683711566e+00
4.520000000000003459e-01,5.012999833277683723e-08,4.999999908097580104e+00,3.137282228512560778e+00,1.868893565684016433e+00
4.540000000000003477e-01,5.012999833283268185e-08,4.999999908106979696e+00,3.137282228502272563e+00,1.868893565683891644e+00
4.560000000000003495e-01,5.012999833288853309e-08,4.999999908116379288e+00,3.137282228519268301e+00,1.868893565684116354e+00
4.580000000000003513e-01,5.012999833294438432e-08,4.999999908125779768e+00,3.137282228527141115e+00,1.868893565684245139e+00
