time,v(v_in),v(out)
3.573500000000089029e-05,2.300000000000000266e+00,9.629719032225369106e-07
3.574000000000088770e-05,2.300000000000000266e+00,9.392035923546880052e-07
3.574500000000088511e-05,2.300000000000000266e+00,9.160542532315673426e-07
3.575000000000088253e-05,2.300000000000000266e+00,8.935075539331510807e-07
3.575500000000087994e-05,2.300000000000000266e+00,8.715477411895575068e-07
3.576000000000087735e-05,2.300000000000000266e+00,8.501596899091531996e-07
3.576500000000087476e-05,2.300000000000000266e+00,8.293285685937502128e-07
3.577000000000087217e-05,2.300000000000000266e+00,8.090398666240902631e-07
3.577500000000086958e-05,2.300000000000000266e+00,7.892794225465825310e-07
3.578000000000086699e-05,2.300000000000000266e+00,7.700334942152269319e-07
3.578500000000086440e-05,2.300000000000000266e+00,7.512887373581919400e-07
3.579000000000086181e-05,2.300000000000000266e+00,7.330320456958550363e-07
3.579500000000085923e-05,2.300000000000000266e+00,7.152507070071582483e-07
3.580000000000085664e-05,2.300000000000000266e+00,6.979323699927290935e-07
3.580500000000085405e-05,2.300000000000000266e+00,6.810649085035442537e-07
3.581000000000085146e-05,2.300000000000000266e+00,6.646365485806071767e-07
3.581500000000084887e-05,2.300000000000000266e+00,6.486359944896041450e-07
3.582000000000084628e-05,2.300000000000000266e+00,6.330522276962294770e-07
3.582500000000084369e-05,2.300000000000000266e+00,6.178742839277847658e-07
3.583000000000084110e-05,2.300000000000000266e+00,6.030914782043050852e-07
3.583500000000083851e-05,2.300000000000000266e+00,5.886935657480366341e-07
3.584000000000083592e-05,2.300000000000000266e+00,5.746705073009914998e-07
3.584500000000083334e-05,2.300000000000000266e+00,5.610124763248237423e-07
3.585000000000083075e-05,2.300000000000000266e+00,5.477100146248090593e-07
3.585500000000082816e-05,2.300000000000000266e+00,5.347539065388964712e-07
3.586000000000082557e-05,2.300000000000000266e+00,5.221351543632591711e-07
3.586500000000082298e-05,2.300000000000000266e+00,5.098450006468371837e-07
3.587000000000082039e-05,2.300000000000000266e+00,4.978749723813742360e-07
3.587500000000081780e-05,2.300000000000000266e+00,4.862167526766119225e-07
3.588000000000081521e-05,2.300000000000000266e+00,4.748620827774778710e-07
3.588500000000081262e-05,2.300000000000000266e+00,4.638029881231187769e-07
3.589000000000081003e-05,2.300000000000000266e+00,4.530317675334731341e-07
3.589500000000080745e-05,2.300000000000000266e+00,4.425408689079686725e-07
3.590000000000080486e-05,2.300000000000000266e+00,4.323229562403108426e-07
3.590500000000080227e-05,2.300000000000000266e+00,4.223710799092896962e-07
3.591000000000079968e-05,2.300000000000000266e+00,4.126785024536607673e-07
3.591500000000079709e-05,2.300000000000000266e+00,4.032384086554194817e-07
3.592000000000079450e-05,2.300000000000000266e+00,3.940441548580096810e-07
3.592500000000079191e-05,2.300000000000000266e+00,3.850893492680728354e-07
3.593000000000078932e-05,2.300000000000000266e+00,3.763676451740692494e-07
3.593500000000078673e-05,2.300000000000000266e+00,3.678729769902086935e-07
3.594000000000078414e-05,2.300000000000000266e+00,3.595995148684263008e-07
