time,v(v_in),v(out),v(c1),v(c2)
2.585008981599902673e-03,1.481820021513488239e+00,-1.784025596242515656e-04,5.000011095662195260e+00,3.136930879847153797e+00
2.586008981599902806e-03,1.471024148374815432e+00,1.666413806444706476e-04,4.999762834597628824e+00,3.136939046593717251e+00
2.587008981599902939e-03,1.460268897440869518e+00,-1.554503483653947560e-04,5.000006634553535001e+00,3.136935799059510810e+00
2.588008981599903072e-03,1.449554693310554088e+00,1.452725392081548523e-04,4.999769341096606645e+00,3.136943612236461565e+00
2.589008981599903204e-03,1.438881958962296315e+00,-1.355537841353854833e-04,5.000002308626740444e+00,3.136940667393557369e+00
2.590008981599903337e-03,1.428251115737373622e+00,1.267453865949246319e-04,4.999775727318809260e+00,3.136948138989982926e+00
2.591008981599903470e-03,1.417662583323267445e+00,-1.182999446138636377e-04,4.999998135921944531e+00,3.136945487650776077e+00
2.592008981599903603e-03,1.407116779737119128e+00,1.106760941768962167e-04,4.999781977349893936e+00,3.136952630104036022e+00
2.593008981599903735e-03,1.396614121309191159e+00,-1.033320682019045928e-04,4.999994129854746561e+00,3.136950262623085184e+00
2.594008981599903868e-03,1.386155022666454739e+00,9.673303222122767674e-05,4.999788079373290728e+00,3.136957088408240057e+00
2.595008981599904001e-03,1.375739896716209332e+00,-9.034189383053207187e-05,4.999990300188423831e+00,3.136954994815066566e+00
2.596008981599904133e-03,1.365369154629799908e+00,8.462964262231476942e-05,4.999794024999878239e+00,3.136961516710017328e+00
2.597008981599904266e-03,1.355043205826372388e+00,-7.906304776776607295e-05,4.999986653516482527e+00,3.136959686713879147e+00
2.598008981599904399e-03,1.344762457956699020e+00,7.411829847305539140e-05,4.999799808702605652e+00,3.136965917456326025e+00
2.599008981599904532e-03,1.334527316887101689e+00,-6.926533130335293790e-05,4.999983193935917392e+00,3.136964340617340863e+00
2.600008981599904664e-03,1.324338186683419183e+00,6.498498713747695725e-05,4.999805427216112541e+00,3.136970292854192266e+00
2.601008981599904797e-03,1.314195469595076826e+00,-6.074979016221766326e-05,4.999979923225605027e+00,3.136968958697080367e+00
2.602008981599904930e-03,1.304099566039166325e+00,5.704474633437960383e-05,4.999810879352319049e+00,3.136974645041735954e+00
2.603008981599905063e-03,1.294050874584685040e+00,-5.334446080352855702e-05,4.999976841632448377e+00,3.136973543075301407e+00
2.604008981599905195e-03,1.284049791936759499e+00,5.013768522628940386e-05,4.999816165365215781e+00,3.136978975840948536e+00
2.605008981599905328e-03,1.274096712921007901e+00,-4.690068421541949197e-05,4.999973947849679412e+00,3.136978095799317856e+00
2.606008981599905461e-03,1.264192030467941930e+00,4.412558231822965546e-05,4.999821286857527802e+00,3.136983287053387581e+00
2.607008981599905593e-03,1.254336135597470925e+00,-4.128994213096408121e-05,4.999971239414243485e+00,3.136982618616104279e+00
2.608008981599905726e-03,1.244529417403459570e+00,3.888893263930702824e-05,4.999826246404265540e+00,3.136987580210226056e+00
2.609008981599905859e-03,1.234772263038328211e+00,-3.640110734180829281e-05,4.999968713011872623e+00,3.136987113380976133e+00
2.610008981599905992e-03,1.225065057697840576e+00,3.432439887667380890e-05,4.999831047504416759e+00,3.136991856888748931e+00
2.611008981599906124e-03,1.215408184605831332e+00,-3.213808500398455356e-05,4.999966364579034206e+00,3.136991581793273642e+00
2.612008981599906257e-03,1.205802024999125921e+00,3.034261186256870371e-05,4.999835694187661161e+00,3.136996118329453243e+00
2.613008981599906390e-03,1.196246958112451519e+00,-2.841775982628755732e-05,4.999964189495245570e+00,3.136996025455180526e+00
2.614008981599906523e-03,1.186743361163488109e+00,2.686626971492111593e-05,4.999840190989917943e+00,3.137000365852072203e+00
2.615008981599906655e-03,1.177291609337965061e+00,-2.516823425696457193e-05,4.999962182735263383e+00,3.137000445849922325e+00
2.616008981599906788e-03,1.167892075774871197e+00,2.382849723283751137e-05,4.999844542784670054e+00,3.137004600532046883e+00
2.617008981599906921e-03,1.158545131551686369e+00,-2.232730382838692677e-05,4.999960338947222027e+00,3.137004844522015556e+00
2.618008981599907053e-03,1.149251145669774488e+00,2.117143281283508584e-05,4.999848754747365120e+00,3.137008823490163412e+00
2.619008981599907186e-03,1.140010485039778976e+00,-1.984114136108322784e-05,4.999958652642313872e+00,3.137009222719914892e+00
